1;Soft;Kecsketejes krém;150 ml;1900 Ft/db;"Száraz kezekre, sarokra, ekcéma, pikkelysömör, zsíroxidációs azaz (öregségi) foltokra, égésre, 
műtéti hegekre, babapopsira. A kecsketej magas elektrolit tartalmának köszönhetően kiválóan alkalmas a gyulladt, irritált bőr megnyugtatására, a bőrallergia, ekcéma és kiütések enyhítésére. A kecsketej különösen finoman bánik a bőrrel. Kalcium tartalmával egészségesebbé, puhábbá tesz a bőrt.";
2;Soft;Vadgesztenyés krém;150 ml;1900 Ft/db;Visszerekre, fájós lábakra, az érfalak rugalmasságának megőrzésére, rozáceás bőrre.;
3;Soft;Kollagénes ránctalanító krém;150 ml;1900 Ft/db;Feszesítő, hidratáló. Segít megelőzni a bőr kiszáradását, valamint nyugtatja az irritált bőrt.;
4;Soft;Kurkumás krém;150 ml;1900 Ft/db;"Ízületi kopás, gyulladás és fájdalom ellen, bőrnyugtató, kollagén termelést segítő, 
segíti a kötőszövet képződést, a kurkumin segíti a véráramlást.";
5;Soft;Fenyőrügyes krém;150 ml;1900 Ft/db;"Ásványi anyagokban, vitaminokban (C-, B2-, K-vitamin) karotinoidokban, illóolajokban gazdag. 
 Enyhítheti a reumás fájdalmakat. Antibakteriális, gyulladáscsökkentő. Repedezett sarokra, bőrkeményedésekre is jó lehet.";
6;Soft;Orchideás-kollagénes krém;150 ml;1900 Ft/db;"Regenerálja a környezeti és a hormonális változások okozta bőrkárosodást. 
Segíti a sejtmegújulást, csökkenti az öregedést, a bőrnek vitalitást, feszességet biztosít.";
7;Soft;Csigás krém;150 ml;1900 Ft/db;"Csiganyálka, allantoin hatóanyaggal. Hatására a bőrsejtekben protein képződik, és a bőr regenerálódik. 
Ápolja az érett bőrt, csökkenti a ráncokat, bőrfeszesítő hatású, kiváló szemkörnyék ápoló. Megújítja a bőrsejteket, gyógyítja a sebeket, eltünteti a műtéti és az égési sérülések hegeit, a bőrt puhítja, a sebeket nem engedi elfertőződni.  ";
8;Soft;Körömvirágos krém;150 ml;1900 Ft/db;Magas antioxidáns tartalmú, segíthet megakadályozni a szabad gyökök okozta bőrkárosodásokat, gyulladásgátló és antibakteriális. Száraz bőrre, sebgyógyulásra. A krémet használhatjuk, hogy megnyugtassuk az irritált bőrt, a vörös foltokat, az ekcémát. a pikkelysömört.;
9;Soft;Ginzenges krém;150 ml;1900 Ft/db;Bőrpuhító és regeneráló. Hatékonyan táplálja a száraz bőrt, Megelőzhető a bőrkeményedés, a könyök, a kéz, a lábszár, és a sarok kiszáradása. Elősegíti a kollagéntermelést a bőr középső rétegében, így a bőr stabilabbá válik. Semlegesíti a szabad gyököket a bőrben.  Bőrtápláló anyagokban gazdag. ;
10;Kender;HŰSÍTŐ testbalzsam természetes kenderolajjal;220 g;3500 Ft/db;"Hűsítő hatású testbalzsam. Természetes növényi összetevőkkel gazdagított testbalzsam, amelyek ellazítják az izmokat, enyhítik a görcsöket és megszüntetik a fáradtságot a megerőltető edzés után.
A balzsam hatóanyagai:
•  Kenderolaj – enyhíti az ízületi fájdalmakat és az izomduzzanatot.
•  Eukaliptuszolaj – fájdalomcsillapító hatású és elősegíti a vérkeringést.
•  Szegfűszegolaj – érzéstelenítő hatású, enyhíti a fájdalmat és az izomfeszültséget.
•  Panthenol – enyhíti az irritációkat és gyorsítja a sebgyógyulást.
•  Mentol – hűsít és segít enyhíteni az izomfájdalmat.
•  Feketenadálytő levél kivonat – gyorsítja a sebgyógyulást és nyugtató hatású.";
11;Kender;Testbalzsam természetes kenderolajjal 5%;220 g;3500 Ft/db;Csillapítja az izomfeszültséget és az ízületi fájdalmakat. Masszázsra ajánlott, fizikai fáradtság, idegi feszültség és reumás betegségek esetén. Rendszeres használata feszesíti a testet, hidratálja a száraz bőrt.;
12;Egyéb;Fekete nadálytő balzsam;230 g;3500 Ft/db;A fáradt és száraz bőr mindennapos ápolására. Felgyorsítja a bőrszövet regenerálódását, segíti a zúzódások, és duzzanatok csillapítását. A shea vaj összetételéből adódóan még a nagyon száraz bőrt is ápolja és táplálja. Alkalmazása után a bőr láthatóan hidratált, táplált, és sima lesz.;
13;Kender;Krém karbamiddal és kenderolajjal - nagyon száraz bőrre;195 ml;1800 Ft/db;"Intenzíven hidratáló és ápoló krém karbamiddal és kenderolajjal. Még a nagyon száraz bőr ápolására is szolgál, 
beleértve a keratinizálódásra hajlamos bőrt is (sarok, könyök és térd).
Karbamid – intenzív hidratálást és puhítást biztosít, valamint felgyorsítja a bőrkeményedés hámlását.
Kenderolaj – nyugtatja, regenerálja, rugalmassá teszi és helyreállítja a bőr természetes védőrétegét. 
Az első alkalmazás után a bőr sima és puha tapintású marad.
Intenzíven hidratáló és ápoló karbamiddal és kenderolajjal. A nagyon száraz bőr tökéletes ápolása,
beleértve a keratosisra hajlamos bőrt is (sarok, könyök és térd). A karbamid jelenléte intenzív hidratálást és
lágyítást biztosít, valamint felgyorsítja a hámlasztást. A krém formula kenderolajjal dúsított, amely ezenkívül 
nyugtatja, regenerálja, tonizálja és helyreállítja a bőr természetes védőgátját. A bőr sima és puha tapintású 
marad az első alkalmazás után.";
